2026-08-28 14:35:40 | INFO     | main | Bot Web Scanner de Supermercados — iniciando execução
2026-08-28 14:35:57 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_34-261x300.webp
2026-08-28 14:35:57 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_35-261x300.webp
2026-08-28 14:35:57 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_36-261x300.webp
2026-08-28 14:35:57 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_37-261x300.webp
2026-08-28 14:35:57 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_38-261x300.webp
2026-08-28 14:35:57 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_39-261x300.webp
2026-08-28 14:35:57 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_4-261x300.webp
2026-08-28 14:35:57 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_40-261x300.webp
2026-08-28 14:35:58 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_41-261x300.webp
2026-08-28 14:35:58 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_43-261x300.webp
2026-08-28 14:35:58 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_44-261x300.webp
2026-08-28 14:35:58 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_45-261x300.webp
2026-08-28 14:35:58 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_46-261x300.webp
2026-08-28 14:35:58 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_47-261x300.webp
2026-08-28 14:35:58 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_48-261x300.webp
2026-08-28 14:35:58 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_49-261x300.webp
2026-08-28 14:35:58 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_5-261x300.webp
2026-08-28 14:35:58 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_50-261x300.webp
2026-08-28 14:35:59 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_51-261x300.webp
2026-08-28 14:35:59 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_52-261x300.webp
2026-08-28 14:35:59 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_53-261x300.webp
2026-08-28 14:35:59 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_54-261x300.webp
2026-08-28 14:35:59 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_55-261x300.webp
2026-08-28 14:35:59 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_56-261x300.webp
2026-08-28 14:35:59 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_57-261x300.webp
2026-08-28 14:35:59 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_58-261x300.webp
2026-08-28 14:35:59 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_59-261x300.webp
2026-08-28 14:35:59 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_6-261x300.webp
2026-08-28 14:36:00 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_60-261x300.webp
2026-08-28 14:36:00 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_61-261x300.webp
